,Date / Time,Date,Time,Avg Temp,Max Temp,Min Temp,Avg Dewpoint,Max Dewpoint,Min Dewpoint,Avg Humidity,Max Humidity,Min Humidity,Avg Pressure,Max Pressure,Min Pressure,Wind Deg,Avg Wind Speed Gust,Max Wind Speed Gust,Min Wind Speed Gust,Avg Wind Speed,Max Wind Speed,Min Wind Speed,Avg Solar Radiation,Max Solar Radiation,Min Solar Radiation,Avg Cloud Base,Max Cloud Base,Min Cloud Base,Avg Precip Daily,Max Precip Daily,Avg Precip Hourly,Max Precip Hourly,Cumulative Precip
68,2016-05-18 22:45:00,2016-05-18,22:45:00,79.1,79.2,79.0,54.0,54.1,54.0,42.0,42.0,42.0,29.94,29.94,29.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6093.5,6105.0,6082.0,0.0,0.0,0.0,0.0,0.0
67,2016-05-18 22:30:00,2016-05-18,22:30:00,79.2,79.2,79.2,54.1,54.1,54.1,42.0,42.0,42.0,29.94,29.94,29.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6105.0,6105.0,6105.0,0.0,0.0,0.0,0.0,0.0
66,2016-05-18 22:15:00,2016-05-18,22:15:00,79.7,79.9,79.5,55.0,55.2,54.9,42.7,43.0,42.0,29.94,29.94,29.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6006.0,6082.0,5968.0,0.0,0.0,0.0,0.0,0.0
65,2016-05-18 22:00:00,2016-05-18,22:00:00,80.5,80.8,80.2,52.6,54.5,51.4,38.0,41.0,36.0,29.94,29.94,29.94,225.0,1.7,2.5,0.0,1.0,1.8,0.0,0.0,0.0,0.0,6741.0,7082.0,6241.0,0.0,0.0,0.0,0.0,0.0
64,2016-05-18 21:45:00,2016-05-18,21:45:00,81.6,82.0,81.1,49.8,50.2,49.3,33.0,34.0,32.0,29.93,29.93,29.93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7635.0,7832.0,7423.0,0.0,0.0,0.0,0.0,0.0
63,2016-05-18 21:30:00,2016-05-18,21:30:00,82.6,82.9,82.4,49.3,50.2,48.7,31.3,32.0,31.0,29.92,29.93,29.92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7983.3,8059.0,7832.0,0.0,0.0,0.0,0.0,0.0
62,2016-05-18 21:15:00,2016-05-18,21:15:00,83.4,83.8,83.1,50.6,50.9,50.4,32.0,32.0,32.0,29.92,29.93,29.92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7862.0,7877.0,7832.0,0.0,0.0,0.0,0.0,0.0
61,2016-05-18 21:00:00,2016-05-18,21:00:00,84.8,85.5,84.2,51.4,51.6,51.3,31.7,32.0,31.0,29.92,29.92,29.91,0.0,0.8,2.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,7983.3,8150.0,7877.0,0.0,0.0,0.0,0.0,0.0
60,2016-05-18 20:45:00,2016-05-18,20:45:00,86.4,86.7,86.0,50.8,51.1,50.5,29.3,30.0,29.0,29.91,29.91,29.91,0.0,2.5,2.5,2.5,1.6,2.5,0.4,0.0,0.0,0.0,8498.7,8582.0,8332.0,0.0,0.0,0.0,0.0,0.0
59,2016-05-18 20:30:00,2016-05-18,20:30:00,87.3,87.6,87.1,51.9,52.2,51.4,29.7,30.0,29.0,29.91,29.91,29.91,337.5,4.1,4.9,2.5,2.4,3.6,1.1,0.0,0.0,0.0,8460.3,8627.0,8377.0,0.0,0.0,0.0,0.0,0.0
58,2016-05-18 20:15:00,2016-05-18,20:15:00,88.1,88.3,87.8,50.7,51.1,50.2,27.7,28.0,27.0,29.9,29.9,29.9,0.0,4.9,4.9,4.9,2.8,3.6,2.0,0.0,0.0,0.0,8907.7,9059.0,8832.0,0.0,0.0,0.0,0.0,0.0
57,2016-05-18 20:00:00,2016-05-18,20:00:00,88.9,89.2,88.7,49.3,49.6,48.9,25.7,26.0,25.0,29.9,29.91,29.9,337.5,3.3,4.9,2.5,2.0,2.9,1.1,0.0,0.0,0.0,9400.0,9559.0,9309.0,0.0,0.0,0.0,0.0,0.0
56,2016-05-18 19:45:00,2016-05-18,19:45:00,89.6,89.8,89.4,49.2,49.3,49.1,25.0,25.0,25.0,29.9,29.9,29.9,180.0,4.9,4.9,4.9,3.6,4.5,2.7,6.1,8.9,3.3,9582.0,9605.0,9559.0,0.0,0.0,0.0,0.0,0.0
55,2016-05-18 19:30:00,2016-05-18,19:30:00,90.3,90.5,90.1,46.4,47.5,45.3,22.0,23.0,21.0,29.89,29.9,29.89,0.0,4.9,7.4,2.5,3.3,5.1,2.0,36.1,44.3,28.0,10377.3,10673.0,10082.0,0.0,0.0,0.0,0.0,0.0
54,2016-05-18 19:15:00,2016-05-18,19:15:00,90.8,90.9,90.7,44.8,45.5,44.2,20.5,21.0,20.0,29.89,29.89,29.89,337.5,6.2,7.4,4.9,5.4,6.5,4.2,73.5,93.8,53.3,10843.5,11014.0,10673.0,0.0,0.0,0.0,0.0,0.0
53,2016-05-18 19:00:00,2016-05-18,19:00:00,91.1,91.2,91.0,43.2,43.3,43.2,19.0,19.0,19.0,29.89,29.89,29.89,0.0,4.9,7.4,2.5,3.1,6.0,1.3,148.8,210.4,111.7,11271.3,11286.0,11264.0,0.0,0.0,0.0,0.0,0.0
52,2016-05-18 18:45:00,2016-05-18,18:45:00,91.4,91.4,91.4,45.3,47.3,43.3,20.5,22.0,19.0,29.89,29.89,29.89,135.0,2.5,2.5,2.5,1.6,2.0,1.3,292.3,303.9,280.6,10877.5,11332.0,10423.0,0.0,0.0,0.0,0.0,0.0
51,2016-05-18 18:30:00,2016-05-18,18:30:00,91.5,91.6,91.4,42.5,43.5,40.6,18.3,19.0,17.0,29.89,29.89,29.89,0.0,4.1,7.4,2.5,2.4,4.9,0.4,334.8,363.5,315.8,11551.7,11991.0,11332.0,0.0,0.0,0.0,0.0,0.0
